prompt,prompt_length,token_rarity,num_objects,abstractness,attribute_density,spatial_relations,action_verbs,named_entities
a meerkat standing on its hind legs in the wild,10,2,2,4,1,2,1,0
a military vehicle is parked on a gravel lot,9,2,1,3,1,1,1,0
a car radio with the clock and time on it,10,0,2,4,0,2,0,0
"coyote, coyote, coyote, coyote, coyote, coyote, coy",7,13,0,1,3,0,3,0
a metal cabinet with two doors and shelves,8,1,1,3,0,1,0,0
a gong with a circular design on it,8,2,2,3,1,2,0,0
an elephant standing in the sand near tall grass,9,0,2,2,1,2,1,0
a red and orange machine with a large piece of machinery,11,0,2,5,3,1,0,0
a man and woman standing in front of a table with vegetables,12,0,3,5,0,3,1,0
a brown and tan fur coat on a mannequin,9,1,1,3,1,1,0,0
a large building with a clock tower,7,0,1,3,1,1,0,0
a laptop computer sitting on a desk,7,0,1,2,0,1,1,0
a spider in a jar with a label on it,10,1,3,4,0,3,0,0
three wooden walking sticks with different colors,7,0,1,2,2,1,0,0
a close up of an elephant with its trunk out,10,0,2,5,0,3,0,0
a close up of a sea urchin with blue and green spikes,12,2,2,5,2,2,0,0
a view of a garden through a window,8,0,2,4,0,1,0,0
a vintage tape recorder sitting on top of a table,10,1,2,3,1,2,1,0
a man standing next to a phone booth,8,0,1,3,0,2,1,0
screws and screws on a white surface,7,2,1,2,1,1,0,0
a red motorcycle parked in front of a building,9,1,2,3,1,2,1,0
a fireplace in a room,5,1,1,2,0,1,0,0
the digital multimeter is a very useful tool for measuring,10,1,1,6,2,0,1,0
a mother and baby monkey,5,0,0,2,0,0,0,0
an old piano with a bench and a keyboard,9,0,1,5,1,1,0,0
a pay phone with a phone cord plugged into it,10,2,2,4,0,1,1,0
a wooden plane with a wooden handle sitting on a table,11,0,2,4,2,2,1,0
four maracas with red balls on top of them,9,1,3,2,1,3,0,0
a german shepherd dog wearing a muzzle in the grass,10,2,2,3,2,1,1,0
a meerkat standing in the grass near some rocks,9,1,2,3,0,2,1,0
a crab with its mouth open and its head in the air,12,1,2,6,1,2,0,0
a white and brown weasel standing on the grass,9,1,2,3,2,1,1,0
a group of men sitting on a bench,8,0,2,3,0,1,1,0
a monkey sitting on a log in a zoo,9,0,2,3,0,2,1,0
a baboon sitting on the ground with its legs spread out,11,1,3,4,0,3,2,0
a woman wearing a purple shirt and a belt,9,0,1,4,1,0,1,0
a dog standing on a brick wall,7,0,1,2,0,1,1,0
a small white and pink fish in an aquarium,9,1,1,3,3,1,0,0
a close up of an orange pepper,7,0,1,3,0,1,0,0
a white railing on a wooden deck,7,1,1,2,2,1,1,0
a green bug with long wings sitting on a wooden surface,11,0,2,3,3,2,1,0
three stainless steel screws on a wooden table,8,2,1,1,2,1,0,0
a small animal standing on the side of the road,10,0,3,4,1,1,1,0
a group of people standing on a dock next to a boat,12,1,3,5,0,3,1,0
a dog is standing in the grass,7,0,2,3,0,1,1,0
a green christmas stocking with the word peace on it,10,1,2,4,1,2,0,0
"a brush, a cd, and a small tool",8,2,0,4,1,0,0,0
a large white and brown jug with a brown lid,10,2,1,4,4,1,0,0
a small motorcycle parked in a garage,7,1,1,2,1,1,1,0
a man holding a large pike fish on a boat,10,1,2,3,2,1,1,0
a monkey sitting in the front seat of a car,10,0,2,4,1,1,1,0
a small animal is standing in the dirt,8,0,2,3,1,1,1,0
deer in the grass,4,0,1,1,0,1,0,0
a monkey hanging from a tree branch in an enclosure,10,1,2,4,0,2,1,0
a person holding a white and orange snake in their hand,11,0,2,3,1,1,1,0
a chimpanzee sitting in the grass near a tree,9,1,2,3,0,2,1,0
a teepee made out of sticks,6,1,1,2,0,1,1,0
a black dog sitting on a concrete surface,8,0,1,2,2,1,1,0
a wooden wardrobe in a room with a bed,9,1,2,4,1,2,0,0
a white ford mustang convertible parked on the side of the road,12,3,2,4,0,1,1,1
two golden retrievers laying on hay in front of a horse,11,2,3,2,1,3,1,0
a revolver sitting on a wooden table,7,1,1,2,1,1,1,0
a lizard with a red and blue body,8,1,1,4,2,1,0,0
a knife and a wooden knife on a wooden table,10,0,1,4,2,1,0,0
an axolotl in a tank with gravel and rocks,9,2,2,4,0,2,0,0
a bottle with a picture of a man on it,10,0,3,5,0,2,0,0
a pile of straws is shown in this photo,9,1,2,4,0,1,1,0
a man holding a large pike fish in the woods,10,1,2,3,2,1,1,0
a woman's foot with a tattoo on it,9,0,2,3,0,2,0,0
a person holding a black sea urchin in their hand,10,1,2,2,1,1,1,0
a pot of peppers,4,1,1,2,0,0,0,0
a hyena laying down on the ground,7,1,1,2,0,2,1,0
a baboon carrying a baby on its back,8,1,2,3,0,1,1,0
a monkey in a cage,5,0,1,2,0,1,0,0
a tent with a pink cover and a bag,9,0,1,5,1,1,0,0
a white dog standing in the snow,7,0,1,2,1,1,1,0
a telephone booth on a street corner,7,0,1,2,0,1,0,0
a tractor parked in a field with a blue sky,10,2,2,4,1,2,1,0
a plaque with a quote on it,7,1,2,3,0,2,0,0
a large white jug with a wooden handle,8,1,1,3,3,1,0,0
a black and white monkey sitting on a tree branch,10,0,1,3,2,1,1,0
a white box with a red stripe on it,9,1,2,3,1,2,0,0
a jaguar walking through the woods,6,1,1,2,0,1,1,0
a telescope with a mirror on top of it,9,1,3,4,0,3,0,0
a restaurant with tables and chairs,6,0,1,3,0,1,0,0
a large pile of mushrooms,5,1,1,2,1,0,0,0
a large metal structure,4,0,0,1,1,0,0,0
an old army truck with a large bed on it,10,0,2,3,2,2,0,0
"a silver pin with the word ""celebration"" on it",9,2,2,3,0,2,0,0
a silver bowl with broccoli,5,1,1,2,0,1,0,0
"a small, brown, oval, flat, flat, flat, flat, flat, flat, flat",11,10,0,1,9,0,0,0
two purple and green mops on a tile floor,9,2,1,2,2,1,0,0
a close up of a black and white monkey,9,0,1,4,2,1,0,0
a deck with a railing and stairs,7,1,1,4,0,1,1,0
a beetle with a long tail on a white surface,10,1,2,4,2,2,0,0
a black and brown rabbit in a cage,8,0,1,3,2,1,0,0
a large crowd of people in a market,8,0,2,3,1,1,0,0
a wooden desk knife holder with a knife inside,9,0,1,3,1,2,0,0
a joystick on a table,5,1,1,2,0,1,0,0
a wall of caricatures of people,6,1,2,3,0,0,0,0
two ripe fruits sit on a white plate,8,1,2,1,2,1,1,0
the boat is orange and white,6,0,1,3,2,0,0,0
a group of baboons walking in a field,8,1,2,3,0,1,1,0
a kitchen with a sink and a refrigerator,8,1,1,5,0,1,0,0
a pay phone with a paper and a phone number,10,0,1,5,0,1,0,0
a wooden abacus with wooden beads on top,8,2,2,2,2,2,0,0
a wolf is looking into the distance in the snow,10,0,3,5,0,1,1,1
a statue of a man,5,0,1,3,0,0,0,0
two green fruit on a wooden table,7,0,1,1,2,1,0,0
a laptop on a bed,5,0,1,2,0,1,0,0
a white and black dog laying on the floor,9,0,1,3,2,1,1,0
pink compact powder compact makeup compact makeup compact compact compact compact compact compact compact compact compact compact compact compact,19,0,0,0,15,0,0,0
a yellow and black spider with yellow spots on its back,11,0,2,4,3,2,0,0
a black cooling fan on a concrete floor,8,0,1,2,3,1,1,0
a black monkey hanging on a rope in the grass,10,0,2,3,1,2,1,0
a man holding a large crab on the water,9,1,2,3,1,1,1,0
a blue and black chair with a seat attached to it,11,0,2,5,2,2,1,0
two blue plastic buckets with handles,6,2,1,1,1,1,0,0
an hourglass on a hillside with a view of the ocean,11,2,3,6,0,2,0,0
a brown dog standing in a field of poppies,9,1,2,3,1,1,1,0
an elephant with tusks walking in a field,8,1,2,3,0,2,1,0
a small dog standing in a dirt area,8,0,1,2,1,1,1,0
a ferret looking out the window,6,1,1,2,0,1,1,0
a gorilla sitting under a tree in a grassy area,10,2,2,3,1,2,1,0
a car radiator fan and a pair of shoes,9,1,1,4,0,0,0,0
a blue car parked in a parking lot,8,1,1,2,1,1,1,0
two stingrays swimming in an aquarium,6,2,2,1,0,1,1,0
a small phone booth in the middle of a forest,10,0,2,4,1,1,0,0
a large tv mounted on a wall in a room,10,0,3,3,1,2,1,0
a butterfly is sitting on a leaf,7,1,2,3,0,1,1,0
the satellite dish is white,5,0,1,2,1,0,0,0
a woman kneeling down holding a large fish,8,1,2,2,1,1,2,0
a mop bucket with a purple handle,7,1,1,3,1,1,0,0
the plaque is on the wall,6,1,2,3,0,1,0,0
a group of baboons standing on a dirt road,9,1,2,3,0,1,1,0
a wolf standing on a rock in the woods,9,0,2,3,0,2,1,0
a wooden closet with drawers and shelves,7,2,1,3,1,1,0,0
a black bear walking,4,0,1,1,1,0,1,0
a woman standing in front of a row of blue barrels,11,1,3,4,1,2,1,0
three different colored dog collars with different designs,8,1,1,3,3,1,0,0
a binder with a book on top of it,9,1,3,4,0,3,0,0
a green insect with long wings sitting on a leaf,10,1,2,3,2,2,1,0
a speed boat traveling on the water,7,0,1,2,0,1,1,0
a monkey with a long face and a long neck,10,0,1,5,2,1,0,0
a wolf with brown eyes and a white coat,9,0,1,4,2,1,0,0
a red panda is sitting in the shade of a tree,11,1,3,5,1,1,1,0
a monkey is sitting in a tree,7,0,2,3,0,1,1,0
a view of a valley,5,0,1,3,0,0,0,0
a white dog standing on top of a stone wall,10,0,2,3,1,2,1,0
a purple and yellow mop with two handles,8,2,1,3,2,1,0,0
"a black cape with a long, flowing skirt",8,2,1,4,3,1,1,0
a bottle of water and a baby bottle,8,0,1,4,0,0,0,0
a bedroom with a canopy bed and orange curtains,9,2,1,4,1,1,0,0
a large circular sculpture in the middle of a field,10,2,2,4,2,1,0,0
a koala is sitting on a tree branch,8,1,2,3,0,1,1,0
two foxes are laying on the grass together,8,1,2,2,0,1,1,0
a dog running through a field with a red scarf,10,1,2,4,1,2,1,0
a snake with a large head and a small body,10,0,1,5,2,1,0,0
a man is using a mortar to make a pesto,10,2,3,5,0,1,2,0
a bed with a metal frame,6,0,1,3,0,1,0,0
a man standing in front of a stone wall,9,0,2,3,0,2,1,0
two girls holding crutches,4,1,0,0,1,0,1,0
a man with a beard holding a bow and a rifle,11,0,2,6,0,1,1,0
two small plastic key chains with a compass on them,10,1,2,2,3,2,0,0
a single white daisy with yellow center,7,1,1,2,3,1,0,0
a brown bear is standing on a waterfall with salmon,10,1,3,4,1,2,1,0
a salt shaker on a table with a black background,10,1,2,4,1,2,0,0
a cart pulled by a cow,6,1,1,3,0,1,1,0
a painting of a salt shaker and a glass,9,1,1,5,0,0,0,0
a man driving a cart with a cow,8,1,2,4,0,1,1,0
a close up of a spider with its eyes open,10,0,3,5,0,2,1,0
an office printer with a scanner and scanner,8,3,1,4,0,1,0,0
a bucket with a lid and a basket on a yellow background,12,1,2,6,1,2,0,0
a monkey standing on a rock in front of a large rock,12,0,3,4,1,3,1,0
a red ant is sitting on a green leaf,9,1,2,3,2,1,1,0
a black beetle with purple spots on its back,9,1,2,3,2,2,0,0
a red mini convertible parked on the beach,8,2,1,2,2,1,1,0
a meerkat standing on its hind legs,7,2,1,2,0,1,1,0
a wooden bucket with handles on a white background,9,1,2,3,2,2,0,0
a large safe box with a metal door,8,0,1,3,2,1,0,0
"neuschwanstein castle, germany",3,2,0,0,0,0,0,2
vintage retro electric fan with mug,6,2,1,2,1,1,0,0
daisies are blooming in the garden,6,2,2,2,0,1,1,0
a page from the booklet of the clarinet,8,2,2,5,0,1,0,0
a leopard is standing on a hillside in the wild,10,2,3,5,1,2,1,0
a white wolf walking through a field,7,0,1,2,1,1,1,0
a wet otter sitting on the grass near a body of water,12,1,3,4,1,2,1,0
a helmet with a black visor on it,8,1,2,3,1,2,0,0
a wooden plane with a wooden handle and a wooden handle,11,0,1,5,3,1,0,0
a spider with long legs and a brown body,9,0,1,4,2,1,0,0
a tiger walking through the grass in the wild,9,0,2,4,1,2,1,0
personalised christmas stocking,3,2,0,0,1,0,1,0
a silver metal container with a lid and a metal lid,11,2,2,5,1,1,0,0
a butterfly with a blue and white pattern on its wings,11,1,2,5,2,2,0,0
a row of parked motorcycles,5,2,1,2,1,0,1,0
a small brown dog sitting on a white fur rug,10,1,1,2,3,1,1,0
a cobra with its head turned to the side,9,1,3,5,0,2,1,0
a soldier holding a rifle in a building,8,0,2,3,0,1,1,0
a drawing of a vase with a leaf on it,10,1,3,5,0,2,0,0
a baboon with a big nose and big eyes,9,1,1,4,2,1,0,0
a bathroom with a toilet and bidet,7,1,1,4,0,1,0,0
a black and gold feather pen with a box,9,1,1,4,2,1,0,0
a jaguar walking in a zoo,6,1,1,2,0,1,1,0
a monkey with its mouth open and its eyes wide,10,0,2,5,1,1,0,0
a meerkat sitting on a sign that says welcome,9,1,2,4,1,1,2,0
a blue butterfly with orange spots on its wings is sitting on a flower,14,1,4,5,2,3,1,0
a pay phone with a cord and a phone cord,10,2,1,5,0,1,0,0
a room divider with four panels on each side,9,1,2,3,0,2,0,0
a snake with a long tail on the sand,9,0,2,4,1,2,0,0
two red lizards on a leaf,6,1,1,1,1,1,0,0
a man holding a large fish in a boat,9,0,2,3,1,1,1,0
a set of tools in a metal case,8,0,2,3,0,1,0,0
a wolf is walking across a river in the water,10,0,3,4,0,2,1,1
a large metal cabinet with four doors,7,0,1,2,1,1,0,0
a small black and brown dog standing on a white sheet,11,0,1,3,4,1,1,0
a cheetah lying on the grass,6,1,1,2,0,1,1,0
a leopard walking in the grass,6,1,1,2,0,1,1,0
a small brown dog standing on a towel,8,1,1,2,2,1,1,0
a small white and brown dog sitting in the grass,10,0,1,3,3,1,1,0
a man holding a fish,5,0,1,2,0,0,1,0
a church with a graveyard in front of it,9,1,3,4,0,3,0,0
a brown entertainment center,4,0,0,1,1,0,0,0
a cat is sitting on a chair,7,0,2,3,0,1,1,0
two wooden guns with wooden grips and wooden handles,9,2,1,2,3,1,0,0
a group of yellow flowers with dark brown centers,9,0,2,3,3,1,0,0
a pair of black sandals with straps and a book,10,2,2,5,1,1,0,0
a large number of wooden abacuses sitting on a table,10,1,2,3,2,1,1,0
a brown hare running through a field,7,1,1,2,1,1,1,0
a belgian malinois dog standing in the grass,8,2,1,2,1,1,1,0
a small black and tan puppy is being held by someone,11,0,1,5,2,1,1,0
a yellow and black fish with blue eyes,8,0,1,3,3,1,0,0
a polar bear walking on the ground,7,1,1,2,1,1,1,0
a baby mountain gorilla in rwanda,6,2,1,1,0,1,0,1
a black box with the words d - 60h on it,10,2,2,3,1,2,0,0
a white animal standing on a branch with berries,9,1,3,3,1,2,1,0
a basket with a bottle of wine and a towel,10,1,2,6,0,1,0,0
a blue face mask with a strap and a metal headband,11,2,1,5,1,1,0,0
"a living room with a television, a couch, and a bookcase",11,3,1,6,0,1,0,0
a painting of a dog running in a field,9,0,2,4,0,1,1,0
a bottle of beer and a mushroom on a table,10,1,2,5,0,1,0,0
a butterfly is perched on a blade of grass,9,2,2,4,0,1,1,0
a chimpanzee is sitting down and holding his hand to his chin,12,1,3,4,0,2,2,0
a cat laying on a couch,6,0,1,2,0,1,1,0
two baboons are playing with each other,7,1,2,4,1,1,1,0
a green insect with long wings sitting on a rock,10,1,2,3,2,2,1,0
a red knitted ponchle with fringes,6,3,1,2,1,1,1,0
"a wicker basket with a bottle of beer, chocolate and other items",12,2,2,6,1,1,0,0
drum sticks and a sign for the doobie brothers,9,1,1,4,0,0,0,0
a small yellow and black salamander on a person's hand,11,1,1,3,3,1,0,0
a white mortar and pestle on a white surface,9,2,1,3,2,1,0,0
a black box with a wanted poster on it,9,0,2,3,2,2,0,0
a goblet with a gold rim,6,2,1,3,0,1,0,0
a man in a suit standing in front of a satellite dish,12,0,3,4,0,3,1,0
a teapot with a floral design on it,8,2,2,3,1,2,0,0
a small butterfly with brown spots on its wings,9,1,2,3,2,2,0,0
a monkey sitting on a tree branch in the forest,10,0,2,3,0,2,1,0
a black and white photo of a chimpan,8,1,1,4,2,0,0,0
a small blue butterfly with white spots on its wings,10,1,2,3,3,2,0,0
a badger in the wild with blue flowers,8,1,2,4,1,2,0,0
a large spider sitting on the ground,7,0,1,2,1,1,1,0
a green insect with long wings and long legs,9,1,1,3,3,1,0,0
a monkey eating a green leaf,6,0,1,2,1,0,1,0
two black and white monkeys sitting on a wooden fence,10,1,1,2,3,1,1,0
a man holding a fish on a fishing pole,9,0,2,3,0,1,1,0
a picture of a concrete ramp with a white circle around it,12,1,3,6,2,2,0,0
two crutches with yellow handles and yellow handles,8,3,1,2,2,1,0,0
a turtle laying on the floor next to a wall,10,1,2,4,0,3,1,0
a table with many fruit on it,7,0,2,3,1,2,0,0
a pink tool with a ruler on top of a desk,11,1,3,5,1,3,0,0
three different colored dumbbells on a floor,7,1,1,2,2,1,0,0
a mop with blue handle on a wooden floor,9,1,2,3,2,2,0,0
a brown poodle standing on a fence in the snow,10,1,2,3,1,2,1,0
a vest with the words bulletproof on it,8,2,3,3,1,2,0,0
a ferret walking on a brick walkway,7,2,1,2,0,1,1,0
a bow and arrow with two sticks and a plastic arrow,11,0,1,5,1,1,0,0
a man is feeding a baby with a pacifier,9,1,3,5,0,1,1,0
a woman wearing a brown coat with a fur collar,10,0,2,4,1,1,1,0
a church with a steeple,5,1,1,3,0,1,0,0
a piano in a room with a staircase and a piano bench,12,1,2,6,0,2,0,0
two brown bears,3,0,0,0,1,0,0,0
a brown dog sitting in a chair with its head up,11,0,2,4,1,3,1,0
a black and white photo of a boat and people standing around it,13,0,2,6,2,1,1,0
a single white daisy in the grass with green leaves,10,1,2,3,3,2,0,0
a red and black gymnastics bar with a wooden top,10,1,1,4,3,1,0,0
a woman leaning against a pay phone,7,1,1,3,0,1,1,0
a black and yellow fish swimming in the ocean,9,0,1,3,2,1,0,0
a sea urchin on a rock,6,1,1,2,0,1,0,0
a classic car is parked on a brick road,9,1,1,4,1,1,1,0
two eggplants with autographs on them,6,2,2,1,0,2,0,0
a mannequin wearing a colorful striped poncho,7,4,1,2,2,0,1,0
two women with crutches pose for a picture,8,1,3,3,0,1,1,0
a man standing next to a large shaggy dog,9,1,1,3,2,2,1,0
a man is doing a squat on a barbell,9,2,3,4,0,1,1,0
a dog with a white collar,6,0,1,3,1,1,0,0
a lion is standing in the grass,7,0,2,3,0,1,1,0
a black and white monkey sitting on a tree stump,10,1,1,3,2,1,1,0
a room with a bed and a table in it,10,0,2,5,0,2,0,0
a drawing of a lobster on a brown background,9,1,2,4,1,1,0,0
a black mustang convertible parked on the side of the road,11,3,2,4,1,1,1,0
a fox sleeping in a tree,6,0,1,2,0,1,1,0
two stainless steel hex head screws,6,3,0,1,1,0,0,0
a group of six wine glasses with different designs,9,0,2,4,1,1,0,0
a catamaran sailing in the ocean with a blue sky,10,2,2,4,1,2,0,0
a small black lizard is sitting on a person's hand,11,1,2,3,2,1,1,0
a badger in a glass case in a museum,9,1,2,3,0,2,0,0
a woman is holding a dog next to trophies,9,1,3,4,0,2,1,0
a shark with its mouth open and teeth showing,9,0,1,4,1,1,1,0
